Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots,12,2,0,0.857,365,233,132,9.4,-2.1,7.3,3.4,3.9
Miami Dolphins,9,5,0,0.643,315,314,1,0.1,-2.2,-2.2,-0.8,-1.3
Buffalo Bills,7,7,0,0.5,358,314,44,3.1,-1.6,1.5,2.8,-1.2
New York Jets,4,10,0,0.286,242,358,-116,-8.3,-1,-9.3,-5.3,-4
Pittsburgh Steelers,9,5,0,0.643,341,276,65,4.6,0.6,5.3,2.4,2.9
Baltimore Ravens,8,6,0,0.571,306,263,43,3.1,-1.1,1.9,-1.4,3.3
Cincinnati Bengals,5,8,1,0.393,288,293,-5,-0.4,0.2,-0.2,-1.5,1.3
Cleveland Browns,0,14,0,0,220,408,-188,-13.4,1.3,-12.1,-5.7,-6.4
Tennessee Titans,8,6,0,0.571,340,323,17,1.2,-0.6,0.6,1.5,-0.9
Houston Texans,8,6,0,0.571,250,294,-44,-3.1,0.7,-2.5,-4.5,2.1
Indianapolis Colts,7,7,0,0.5,362,339,23,1.6,-0.5,1.2,4,-2.8
Jacksonville Jaguars,2,12,0,0.143,260,359,-99,-7.1,0.9,-6.2,-3,-3.2
Oakland Raiders,11,3,0,0.786,377,336,41,2.9,1.5,4.4,4.5,-0.1
Kansas City Chiefs,10,4,0,0.714,319,274,45,3.2,1,4.2,-0.6,4.7
Denver Broncos,8,6,0,0.571,299,258,41,2.9,1.5,4.5,-1.8,6.3
San Diego Chargers,5,9,0,0.357,366,366,0,0,1.6,1.6,3.7,-2.1
Dallas Cowboys,12,2,0,0.857,366,258,108,7.7,-0.8,6.9,3.8,3.1
New York Giants,10,4,0,0.714,272,250,22,1.6,-0.2,1.4,-3,4.4
Washington Redskins,7,6,1,0.536,345,343,2,0.1,1.2,1.3,3.2,-1.9
Philadelphia Eagles,5,9,0,0.357,316,299,17,1.2,1.3,2.6,0.9,1.6
Detroit Lions,9,5,0,0.643,301,285,16,1.1,-1.2,-0.1,-1.2,1.1
Green Bay Packers,8,6,0,0.571,363,339,24,1.7,0.4,2.1,4.1,-1.9
Minnesota Vikings,7,7,0,0.5,264,259,5,0.4,0,0.4,-3.7,4.1
Chicago Bears,3,11,0,0.214,248,320,-72,-5.1,-0.2,-5.4,-4.9,-0.5
Atlanta Falcons,9,5,0,0.643,469,358,111,7.9,0.2,8.1,10.9,-2.8
Tampa Bay Buccaneers,8,6,0,0.571,313,322,-9,-0.6,1,0.4,-0.5,0.9
Carolina Panthers,6,8,0,0.429,337,352,-15,-1.1,0.6,-0.4,1.1,-1.6
New Orleans Saints,6,8,0,0.429,406,392,14,1,0.3,1.3,6.9,-5.5
Seattle Seahawks,9,4,1,0.679,298,235,63,4.5,-1.4,3.1,-2.8,5.9
Arizona Cardinals,5,8,1,0.393,340,325,15,1.1,-1.9,-0.8,0.1,-0.9
Los Angeles Rams,4,10,0,0.286,197,328,-131,-9.4,0.4,-8.9,-8.6,-0.4
San Francisco 49ers,1,13,0,0.071,264,434,-170,-12.1,0.1,-12.1,-4.1,-8
